date,tmax,tmin,o3,pm10,pm25,observed,predicted,isExcess
20150914,18.3,11,59.1,8.5,2.7,266,267,0
20150915,16.9,10.8,63.4,8.5,1.8,266,268,0
20150916,19.6,12.3,59.6,6.7,1.6,262,268,0
20150917,16.1,11.7,63.4,9.9,3.8,261,268,0
20150918,17.7,10.8,54.8,11.1,4.8,259,269,0
20150919,17.7,10.6,57.1,13.3,6.8,266,269,0
20150920,18.7,8.9,75.2,11.9,6.3,270,269,0
20150921,17.9,8.3,69.7,14.4,6.9,268,270,0
20150922,14.8,9.7,53.2,8.5,3.1,273,270,0
20150923,15.8,10,35.2,12.3,6.2,272,271,0
20150924,17.4,11.3,48,9.1,2.7,273,271,0
20150925,18.1,8.4,45.4,12.9,4.7,272,271,0
20150926,17,6.7,56.9,14.5,8.4,274,272,0
20150927,18,7.6,59.4,12.6,6,274,272,0
20150928,17.3,7.8,49.3,14.8,6.3,280,272,0
20150929,18.1,7,55.7,14.1,5.2,276,273,0
20150930,17.6,7.1,53.8,16.5,6.2,276,273,0
20151001,16.5,6.7,56.6,22.3,10.7,279,274,0
20151002,18.9,5.5,40.1,29,14.3,282,274,0
20151003,20.5,8.1,48.3,35.5,20.2,284,275,0
20151004,18.7,7.9,65.3,32.1,19.8,285,275,0
20151005,17.6,11.3,38.5,14.6,8.3,284,276,0
20151006,19.7,13.9,39.5,10.9,4.5,289,277,0
20151007,15.5,11.6,44.8,7.8,2.5,292,277,0
20151008,15.6,7.4,45.6,14,6,288,278,0
20151009,17.7,5.1,31.9,25.2,15.9,288,278,0
20151010,12.5,7.4,26.4,31.5,22.3,284,279,0
20151011,13.7,4.2,37.9,35.7,25,285,279,0
20151012,12.5,2.9,23.2,37.3,23.2,284,280,0
20151013,5.6,2.4,27.8,41.6,33.1,283,280,0
20151014,7.1,2.9,24,24.8,19,287,281,0
20151015,5.3,3.3,12.8,24.3,17.9,294,282,0
20151016,7.5,5.2,10,20.5,13.8,296,282,0
20151017,9.1,6.4,15.2,17,11.5,297,283,0
20151018,11.8,6.4,19.4,26.2,18.3,294,283,0
20151019,11.9,7.5,11.2,33.3,23.7,295,284,0
20151020,13.2,5.7,36.2,22.8,15.3,291,284,0
20151021,12.1,6,36.8,22.5,13.3,289,285,0
20151022,13.4,10.1,36.2,13.9,6.8,289,285,0
20151023,13,8.8,29.2,22.3,10.9,291,286,0
20151024,14.6,9.7,38,20.1,11.1,296,286,0
20151025,12.7,8,39.5,17.2,10.8,301,287,0
20151026,16.7,7,25.2,22.9,15.6,304,288,0
20151027,17.9,6.8,23.9,28.9,19,305,288,0
20151028,14.5,11.5,20.2,17.3,11.5,305,289,0
20151029,15.4,8.2,38.4,16.3,8.8,299,289,0
20151030,16.3,7.5,26.1,20.1,12.6,293,290,0
20151031,17.8,6.6,22.1,29.6,22.4,289,291,0
20151101,21.1,5.3,24.5,29,19.3,287,291,0
20151102,18.1,5.1,14,32.2,20.5,284,292,0
20151103,19.6,5.6,22.7,24.3,12,282,292,0
20151104,15.9,11.7,41.2,12,6,277,293,0
20151105,18.5,11,37.8,15.6,8.3,276,294,0
20151106,17.4,13.9,36.9,8.5,3.2,278,294,0
20151107,19.6,14,38.9,8,2.6,277,295,0
20151108,18.1,10.1,41.7,10.9,5.3,270,295,0
20151109,16.8,12.8,59.4,11.7,4,269,296,0
20151110,14.1,12.1,55.9,13.2,6,272,297,0
20151111,13.5,10.9,51.1,15.2,8.7,272,297,0
20151112,16.5,11.8,44.6,16.1,8.6,275,298,0
20151113,13.9,6.7,54.8,13.7,6.4,281,299,0
20151114,10.9,6.7,52.8,9.6,3.5,280,299,0
20151115,15.2,10.9,59.4,14.6,5.8,287,300,0
20151116,13,11.2,57.7,10.8,5.3,289,301,0
20151117,15.7,11.9,56.1,9.6,2.9,287,301,0
20151118,14.7,12.1,67.1,16.2,6,289,302,0
20151119,13.2,8.8,62.4,12,4.7,287,302,0
20151120,9.9,4.2,41.7,9.6,3.4,284,303,0
20151121,5.8,1.1,51.9,7.7,3.5,289,304,0
20151122,4.9,-0.5,55.2,8.1,4.5,283,304,0
20151123,5.9,-2,31.5,20.7,12.5,281,305,0
20151124,5.7,0.3,36.7,12.1,7.2,284,306,0
20151125,8.7,4,37.5,11,5.4,285,306,0
20151126,9.5,1.9,27.8,18.7,10.3,287,307,0
20151127,5.9,1.6,29.7,16.5,10,282,308,0
20151128,8,3.4,55.8,9.6,3.1,279,308,0
20151129,11.2,7.3,69.7,11.7,4.6,284,309,0
20151130,11.5,8.5,68.8,8.6,2.7,283,309,0
20151201,12.7,10,65.6,10,3.6,287,310,0
20151202,12.5,9.9,55.3,14.4,6.3,287,311,0
20151203,12.1,7.5,48.2,16.7,9.1,284,311,0
20151204,10.4,7.2,43.6,13.4,6.6,292,312,0
20151205,8,5.4,48.3,11.6,5.8,293,313,0
20151206,11.6,5.9,52.8,14.5,9.1,295,313,0
20151207,13.3,9,36.1,22.2,13.3,297,314,0
20151208,12.1,8.3,35.4,16.2,9.9,297,315,0
20151209,10.1,4.2,44.1,16.6,7.2,299,315,0
20151210,6.4,2.9,42.1,13.5,7.7,302,316,0
20151211,9.1,4,39.3,11.2,6.7,298,316,0
20151212,10.8,5.8,48.2,11,5.1,299,317,0
