Date_reporting,index,Unnamed: 0,Wallonië,België,Vlaanderen,Brussel
2020-04-11,0,Plaats van overlijden,0,0,0,0
2020-04-11,2,Ziekenhuis,677,1840,825,338
2020-04-11,3,Woonzorgcentrum,453,1417,768,196
2020-04-11,4,Thuis,"20,","150,","130,","00,"
2020-04-11,5,Overige*,"141,","180,","40,","00,"
2020-04-11,6,Onbekend,"322,","561,","201,","40,"
2020-04-11,7,TOTAAL,1178,3346,1630,538
2020-04-11,8,"*Andere instellingen, Fedasil, ...",0,0,0,0
2020-04-11,10,Gerapporteerde sterfgevallen in de laatste 24 uur :,0,0,0,0
2020-04-11,12,Plaats van overlijden,0,0,0,0
2020-04-11,14,Ziekenhuis,47,106,37,22
2020-04-11,15,Woonzorgcentrum,69,219,102,48
2020-04-11,16,Thuis,"00,","00,","00,","00,"
2020-04-11,17,Overige*,"00,","00,","00,","00,"
2020-04-11,18,Onbekend,"21,","20,","00,","00,"
2020-04-11,19,TOTAAL,118,327,139,70
2020-04-12,0,Plaats van overlijden,0,0,0,0
2020-04-12,2,Ziekenhuis,719,1954,878,357
2020-04-12,3,Woonzorgcentrum,427,1492,848,217
2020-04-12,4,Thuis,"20,","180,","130,","30,"
2020-04-12,5,Overige*,"151,","190,","40,","00,"
2020-04-12,6,Onbekend,"957,","1173,","201,","20,"
2020-04-12,7,TOTAAL,1258,3600,1763,579
2020-04-12,8,"*Andere instellingen, Fedasil, ...",0,0,0,0
2020-04-12,10,Gerapporteerde sterfgevallen in de laatste 24 uur:,0,0,0,0
2020-04-12,12,Plaats van overlijden,0,0,0,0
2020-04-12,14,Ziekenhuis,42,114,53,19
2020-04-12,15,Woonzorgcentrum,49,150,80,21
2020-04-12,16,Thuis,"00,","10,","00,","12,"
2020-04-12,17,Overige*,"11,","10,","00,","00,"
2020-04-12,18,Onbekend,"22,","20,","00,","00,"
2020-04-12,19,TOTAAL,94,268,133,41
2020-04-13,0,Plaats van overlijden,0,0,0,0
2020-04-13,2,Ziekenhuis,771,2059,914,374
2020-04-13,3,Woonzorgcentrum,505,1687,953,229
2020-04-13,4,Thuis,"20,","180,","130,","30,"
2020-04-13,5,Overige*,"161,","200,","40,","00,"
2020-04-13,6,Onbekend,"977,","1193,","201,","20,"
2020-04-13,7,TOTAAL,1391,3903,1904,608
2020-04-13,8,"*Andere instellingen, residentiële collectiviteiten, ...",0,0,0,0
2020-04-13,10,Gerapporteerde sterfgevallen in de laatste 24 uur:,0,0,0,0
2020-04-13,12,Plaats van overlijden,0,0,0,0
2020-04-13,14,Ziekenhuis,52,105,36,17
2020-04-13,15,Woonzorgcentrum,78,195,105,12
2020-04-13,16,Thuis,"00,","00,","00,","00,"
2020-04-13,17,Overige*,"10,","10,","00,","00,"
2020-04-13,18,Onbekend,"21,","20,","00,","00,"
2020-04-13,19,TOTAAL,133,303,141,29
2020-04-14,0,Plaats van overlijden,0,0,0,0
2020-04-14,2,Ziekenhuis,806,2149,953,390
2020-04-14,3,Woonzorgcentrum,638,1919,1039,242
2020-04-14,4,Thuis,"20,","180,","130,","30,"
2020-04-14,5,Overige*,"171,","210,","40,","00,"
2020-04-14,6,Onbekend,"281,","501,","201,","20,"
2020-04-14,7,TOTAAL,1491,4157,2029,637
2020-04-14,8,*Andere instellingen en residentiële collectiviteiten,0,0,0,0
2020-04-14,10,Gerapporteerde sterfgevallen in de laatste 24 uur:,0,0,0,0
2020-04-14,12,Plaats van overlijden,0,0,0,0
2020-04-14,14,Ziekenhuis,35,90,39,16
2020-04-14,15,Woonzorgcentrum,72,171,86,13
2020-04-14,16,Thuis,"00,","00,","00,","00,"
2020-04-14,17,Overige*,"10,","10,","00,","00,"
2020-04-14,18,Onbekend,"00,","00,","00,","00,"
2020-04-14,19,TOTAAL,108,262,125,29
2020-04-15,0,Plaats van overlijden,0,0,0,0
2020-04-15,3,Ziekenhuis,40414,,101057,
2020-04-15,4,Woonzorgcentrum,26523,,1195156,
2020-04-15,5,Thuis,30,"0,0,",130,"0,0,"
2020-04-15,6,Overige*,00,"0,0,",51,"0,0,"
2020-04-15,7,Onbekend,20,"0,0,",200,"0,0,"
2020-04-15,8,TOTAAL,67437,,2243214,
2020-04-17,0,Plaats van overlijden,0,0,0,0
2020-04-17,2,Ziekenhuis,913,2486,1128,445
2020-04-17,3,Woonzorgcentrum,850,2586,1371,365
2020-04-17,4,Thuis,"30,","200,","140,","30,"
2020-04-17,5,Overige*,"170,","220,","50,","00,"
2020-04-17,6,Onbekend,"271,","490,","200,","20,"
2020-04-17,7,TOTAAL,1810,5163,2538,815
2020-04-17,8,*Andere instellingen en residentiële collectiviteiten,0,0,0,0
2020-04-17,10,Gerapporteerde sterfgevallen in de laatste 24 uur:,0,0,0,0
2020-04-17,12,Plaats van overlijden,0,0,0,0
2020-04-17,14,Ziekenhuis,40,114,60,14
2020-04-17,15,Woonzorgcentrum,53,199,93,53
2020-04-17,16,Thuis,"00,","00,","00,","00,"
2020-04-17,17,Overige*,"00,","00,","00,","00,"
2020-04-17,18,Onbekend,"00,","00,","00,","00,"
2020-04-17,19,TOTAAL,93,313,153,67
2020-04-19,0,Plaats van overlijden,0,0,0,0
2020-04-19,2,Ziekenhuis,973,2655,1206,476
2020-04-19,3,Woonzorgcentrum,991,2926,1530,405
2020-04-19,4,Thuis,"30,","210,","140,","40,"
2020-04-19,5,Overige*,"170,","220,","50,","00,"
2020-04-19,6,Onbekend,"371,","591,","200,","20,"
2020-04-19,7,TOTAAL,2021,5683,2775,887
2020-04-19,8,*Andere instellingen en residentiële collectiviteiten,0,0,0,0
2020-04-19,9,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-19,11,Plaats van overlijden,0,0,0,0
2020-04-19,13,Ziekenhuis,30,76,32,14
2020-04-19,14,Woonzorgcentrum,45,154,86,23
2020-04-19,15,Thuis,"00,","00,","00,","00,"
2020-04-19,16,Overige*,"00,","00,","00,","00,"
2020-04-19,17,Onbekend,"00,","00,","00,","00,"
2020-04-19,18,TOTAAL,75,230,118,37
2020-04-20,0,Plaats van overlijden,0,0,0,0
2020-04-20,2,Ziekenhuis,999,2716,1229,488
2020-04-20,3,Woonzorgcentrum,1020,3028,1588,420
2020-04-20,4,Thuis,"30,","210,","140,","40,"
2020-04-20,5,Overige*,"170,","240,","70,","00,"
2020-04-20,6,Onbekend,"170,","390,","200,","20,"
2020-04-20,7,TOTAAL,2056,5828,2858,914
2020-04-20,8,*Andere instellingen en residentiële collectiviteiten,0,0,0,0
2020-04-20,9,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-20,11,Plaats van overlijden,0,0,0,0
2020-04-20,13,Ziekenhuis,26,62,24,12
2020-04-20,14,Woonzorgcentrum,29,103,58,16
2020-04-20,15,Thuis,"00,","00,","00,","00,"
2020-04-20,16,Overige*,"00,","21,","22,","00,"
2020-04-20,17,Onbekend,"11,","10,","00,","00,"
2020-04-20,18,TOTAAL,56,168,84,28
2020-04-21,0,Plaats van overlijden,0,0,0,0
2020-04-21,3,Ziekenhuis,50214,,127546,
2020-04-21,4,Woonzorgcentrum,43414,,164759,
2020-04-21,5,Bevestigde gevallen,1152,,70,"0,0,"
2020-04-21,6,Mogelijke gevallen,31912,,164059,
2020-04-21,7,Thuis,40,"0,0,",151,"0,0,"
2020-04-21,8,Overige*,00,"0,0,",70,"0,0,"
2020-04-21,9,Onbekend,20,"0,0,",200,"0,0,"
2020-04-21,10,TOTAAL,94228,,2964106,
2020-04-22,0,Plaats van overlijden,0,0,0,0
2020-04-22,2,Ziekenhuis,1058,2892,1317,517
2020-04-22,3,Woonzorgcentrum,1104,3284,1723,457
2020-04-22,4,Bevestigde gevallen,"201,","1474,","70,",120
2020-04-22,5,Mogelijke gevallen,"108498,","313795,","171699,",337
2020-04-22,6,Thuis,"30,","220,","150,","40,"
2020-04-22,7,Overige*,"170,","240,","70,","00,"
2020-04-22,8,Onbekend,"180,","400,","200,","20,"
2020-04-22,9,TOTAAL,2200,6262,3082,980
2020-04-22,10,*Andere instellingen en residentiële collectiviteiten,0,0,0,0
2020-04-22,11,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-22,13,Plaats van overlijden,0,0,0,0
2020-04-22,15,Ziekenhuis,30,87,42,15
2020-04-22,16,Woonzorgcentrum,78,178,76,24
2020-04-22,17,Bevestigde gevallen,18,23,"00,",5
2020-04-22,18,Mogelijke gevallen,60,155,76,19
2020-04-22,19,Thuis,"00,","00,","00,","00,"
2020-04-22,20,Overige*,"00,","00,","00,","00,"
2020-04-22,21,Onbekend,"10,","10,","00,","00,"
2020-04-22,22,TOTAAL,109,266,118,39
2020-04-24,0,Plaats van overlijden,0,0,0,0
2020-04-24,2,Ziekenhuis,1132,3076,1398,546
2020-04-24,3,Woonzorgcentrum,1229,3516,1779,508
2020-04-24,4,Bevestigde gevallen,82,217,7,128
2020-04-24,5,Mogelijke gevallen,1147,3299,1772,380
2020-04-24,6,Thuis,3,22,15,4
2020-04-24,7,Overige*,14,22,8,0
2020-04-24,8,Onbekend,21,43,20,2
2020-04-24,9,TOTAAL,2399,6679,3220,1060
2020-04-24,10,*Andere instellingen en residentiële collectiviteiten,0,0,0,0
2020-04-24,11,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-24,13,Plaats van overlijden,0,0,0,0
2020-04-24,15,Ziekenhuis,37,91,36,18
2020-04-24,16,Woonzorgcentrum,69,97,0,28
2020-04-24,17,Bevestigde gevallen,30,35,0N/A,5
2020-04-24,18,Mogelijke gevallen,39,62,0N/A,23
2020-04-24,19,Thuis,0,0,0,0
2020-04-24,20,Overige*,0,0,0,0
2020-04-24,21,Onbekend,2,2,0,0
2020-04-24,22,TOTAAL,108,190,36,46
2020-04-25,0,Plaats van overlijden,0,0,0,0
2020-04-25,2,Ziekenhuis,1163,3148,1430,555
2020-04-25,3,Woonzorgcentrum,1255,3678,1899,524
2020-04-25,4,Bevestigde gevallen,97,312,75,140
2020-04-25,5,Mogelijke gevallen,1158,3366,1824,384
2020-04-25,6,Thuis,3,23,16,4
2020-04-25,7,Overige*,14,22,8,0
2020-04-25,8,Onbekend,23,46,21,2
2020-04-25,9,TOTAAL,2458,6917,3374,1085
2020-04-25,10,*Andere instellingen en residentiële collectiviteiten.,0,0,0,0
2020-04-25,11,Noot : Vanaf 24/04 zijn er gegevens beschikbaar over de diagnostische status van sterfgevallen in woonzorgcentra in Vlaanderen,0,0,0,0
2020-04-25,12,(bevestigde en mogelijke COVID-19 gevallen).,0,0,0,0
2020-04-25,13,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-25,15,Plaats van overlijden,0,0,0,0
2020-04-25,17,Ziekenhuis,31,72,32,9
2020-04-25,18,Woonzorgcentrum,25,164,120,19
2020-04-25,19,Bevestigde gevallen,15,95,68,12
2020-04-25,20,Mogelijke gevallen,10,69,52,7
2020-04-25,21,Thuis,0,1,1,0
2020-04-25,22,Overige*,0,0,0,0
2020-04-25,23,Onbekend,3,4,1,0
2020-04-25,24,TOTAAL,59,241,154,28
2020-04-26,0,Plaats van overlijden,0,0,0,0
2020-04-26,2,Ziekenhuis,1187,3223,1465,571
2020-04-26,3,Woonzorgcentrum,1284,3782,1958,540
2020-04-26,4,Bevestigde gevallen,116,373,115,142
2020-04-26,5,Mogelijke gevallen,1168,3409,1843,398
2020-04-26,6,Thuis,3,23,16,4
2020-04-26,7,Overige*,14,23,9,0
2020-04-26,8,Onbekend,21,43,20,2
2020-04-26,9,TOTAAL,2509,7094,3468,1117
2020-04-26,10,*Andere instellingen en residentiële collectiviteiten │ Noot : Vanaf 24/04 zijn er gegevens beschikbaar over de diagnostische status van,0,0,0,0
2020-04-26,11,sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19 gevallen).,0,0,0,0
2020-04-26,12,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-26,14,Plaats van overlijden,0,0,0,0
2020-04-26,16,Ziekenhuis,24,75,35,16
2020-04-26,17,Woonzorgcentrum,28,103,59,16
2020-04-26,18,Bevestigde gevallen,18,60,40,2
2020-04-26,19,Mogelijke gevallen,10,43,19,14
2020-04-26,20,Thuis,0,0,0,0
2020-04-26,21,Overige*,0,0,0,0
2020-04-26,22,Onbekend,0,0,0,0
2020-04-26,23,TOTAAL,52,178,94,32
2020-04-27,0,Plaats van overlijden,0,0,0,0
2020-04-27,2,Ziekenhuis,1212,3283,1491,580
2020-04-27,3,Woonzorgcentrum,1298,3835,1994,543
2020-04-27,4,Bevestigde gevallen,128,410,138,144
2020-04-27,5,Mogelijke gevallen,1170,3425,1856,399
2020-04-27,6,Thuis,3,23,16,4
2020-04-27,7,Overige*,14,23,9,0
2020-04-27,8,Onbekend,21,43,20,2
2020-04-27,9,TOTAAL,2548,7207,3530,1129
2020-04-27,10,*Andere instellingen en residentiële collectiviteiten │ Noot : Vanaf 24/04 zijn er gegevens beschikbaar over de diagnostische status van,0,0,0,0
2020-04-27,11,sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19 gevallen).,0,0,0,0
2020-04-27,12,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-27,14,Plaats van overlijden,0,0,0,0
2020-04-27,16,Ziekenhuis,25,60,26,9
2020-04-27,17,Woonzorgcentrum,14,53,36,3
2020-04-27,18,Bevestigde gevallen,9,34,23,2
2020-04-27,19,Mogelijke gevallen,5,19,13,1
2020-04-27,20,Thuis,0,0,0,0
2020-04-27,21,Overige*,0,0,0,0
2020-04-27,22,Onbekend,0,0,0,0
2020-04-27,23,TOTAAL,39,113,62,12
2020-04-28,0,Plaats van overlijden,0,0,0,0
2020-04-28,2,Ziekenhuis,1235,3350,1521,594
2020-04-28,3,Woonzorgcentrum,1313,3890,2039,538
2020-04-28,4,Bevestigde gevallen,143,460,172,145
2020-04-28,5,Mogelijke gevallen,1170,3430,1867,393
2020-04-28,6,Thuis,3,23,16,4
2020-04-28,7,Overige*,14,26,12,0
2020-04-28,8,Onbekend,21,42,20,1
2020-04-28,9,TOTAAL,2586,7331,3608,1137
2020-04-28,10,*Andere instellingen en residentiële collectiviteiten │ Noot : Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische,0,0,0,0
2020-04-28,11,status van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19 gevallen).,0,0,0,0
2020-04-28,12,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-28,14,Plaats van overlijden,0,0,0,0
2020-04-28,16,Ziekenhuis,23,67,30,14
2020-04-28,17,Woonzorgcentrum,17,64,45,2
2020-04-28,18,Bevestigde gevallen,15,51,34,2
2020-04-28,19,Mogelijke gevallen,2,13,11,0
2020-04-28,20,Thuis,0,0,0,0
2020-04-28,21,Overige*,0,3,3,0
2020-04-28,22,Onbekend,0,0,0,0
2020-04-28,23,TOTAAL,40,134,78,16
2020-04-29,0,Plaats van overlijden,0,0,0,0
2020-04-29,2,Ziekenhuis,1258,3419,1556,605
2020-04-29,3,Woonzorgcentrum,1345,3988,2104,539
2020-04-29,4,Bevestigde gevallen,168,532,218,146
2020-04-29,5,Mogelijke gevallen,1177,3456,1886,393
2020-04-29,6,Thuis,3,23,16,4
2020-04-29,7,Overige*,14,29,15,0
2020-04-29,8,Onbekend,21,42,20,1
2020-04-29,9,TOTAAL,2641,7501,3711,1149
2020-04-29,10,*Andere instellingen en residentiële collectiviteiten │ Noot : Vanaf 24/04/2020 zijn er gegevens beschikbaar over de diagnostische,0,0,0,0
2020-04-29,11,status van sterfgevallen in woonzorgcentra in Vlaanderen (bevestigde en mogelijke COVID-19 gevallen).,0,0,0,0
2020-04-29,12,Gerapporteerde sterfgevallen in de laatste 24 uur,0,0,0,0
2020-04-29,14,Plaats van overlijden,0,0,0,0
2020-04-29,16,Ziekenhuis,23,69,35,11
2020-04-29,17,Woonzorgcentrum,32,98,65,1
2020-04-29,18,Bevestigde gevallen,25,72,46,1
2020-04-29,19,Mogelijke gevallen,7,26,19,0
2020-04-29,20,Thuis,0,0,0,0
2020-04-29,21,Overige*,0,3,3,0
2020-04-29,22,Onbekend,0,0,0,0
2020-04-29,23,TOTAAL,55,170,103,12
2020-05-01,0,Plaats van overlijden,0,0,0,0
2020-05-01,3,Ziekenhuis,6208,,160122,
2020-05-01,4,Woonzorgcentrum,57231,,217432,
2020-05-01,5,Bevestigde gevallen,17123,,26623,
2020-05-01,6,Mogelijke gevallen,4018,,19089,
2020-05-01,7,Thuis,40,,150,
2020-05-01,8,Overige*,00,,150,
2020-05-01,9,Onbekend,10,,200,
2020-05-01,10,TOTAAL,119739,,382554,
2020-05-03,0,Plaats van overlijden,0,0,0,0
2020-05-03,3,Ziekenhuis,6398,,163223,
2020-05-03,4,Woonzorgcentrum,5750,,222223,
2020-05-03,5,Bevestigde gevallen,1720,N/A,30619,
2020-05-03,6,Mogelijke gevallen,4030,N/A,19164,
2020-05-03,7,Thuis,40,,150,
2020-05-03,8,Overige*,00,,150,
2020-05-03,9,Onbekend,10,,200,
2020-05-03,10,TOTAAL,12198,,390446,
2020-05-04,0,Plaats van overlijden,0,0,0,0
2020-05-04,3,Ziekenhuis,6478,,165220,
2020-05-04,4,Woonzorgcentrum,5750,,224826,
2020-05-04,5,Bevestigde gevallen,1720,N/A,32620,
2020-05-04,6,Mogelijke gevallen,4030,N/A,19226,
2020-05-04,7,Thuis,40,,150,
2020-05-04,8,Overige*,00,,150,
2020-05-04,9,Onbekend,10,,200,
2020-05-04,10,TOTAAL,12278,,395046,
2020-05-05,0,Plaats van overlijden,0,0,0,0
2020-05-05,3,Ziekenhuis,66014,,166819,
2020-05-05,4,Woonzorgcentrum,5827,,226921,
2020-05-05,5,Bevestigde gevallen,1753,,34317,
2020-05-05,6,Mogelijke gevallen,4074,,19264,
2020-05-05,7,Thuis,40,,150,
2020-05-05,8,Overige*,00,,150,
2020-05-05,9,Onbekend,10,,200,
2020-05-05,10,TOTAAL,124721,,398740,
2020-05-06,0,Plaats van overlijden,0,0,0,0
2020-05-06,2,Ziekenhuis,1488,3969,1770,711
2020-05-06,3,Bevestigde gevallen,1415,3806,1702,689
2020-05-06,4,Mogelijke gevallen,73,163,68,22
2020-05-06,5,Woonzorgcentrum,1405,4284,2295,584
2020-05-06,6,Bevestigde gevallen,266,809,366,177
2020-05-06,7,Mogelijke gevallen,1139,3475,1929,407
2020-05-06,8,Thuis,3,22,15,4
2020-05-06,9,Overige*,17,32,15,0
2020-05-06,10,Onbekend,11,32,20,1
2020-05-06,11,TOTAAL,2924,8339,4115,1300
