Date_reporting,"('Vlaanderen', 'Bevestigde gevallen', 6)","('Wallonië', 'Bevestigde gevallen', 6)","('Brussel', 'Bevestigde gevallen', 6)","('België', 'Bevestigde gevallen', 6)","('Vlaanderen', 'Mogelijke gevallen', 4)","('Wallonië', 'Mogelijke gevallen', 4)","('Brussel', 'Mogelijke gevallen', 4)","('België', 'Mogelijke gevallen', 4)","('Vlaanderen', 'Mogelijke gevallen', 7)","('Wallonië', 'Mogelijke gevallen', 7)","('Brussel', 'Mogelijke gevallen', 7)","('België', 'Mogelijke gevallen', 7)","('Vlaanderen', 'Bevestigde gevallen', 3)","('Wallonië', 'Bevestigde gevallen', 3)","('Brussel', 'Bevestigde gevallen', 3)","('België', 'Bevestigde gevallen', 3)"
2020-05-06,366,266,177,809,68,73,22,163,1929,1139,407,3475,1702,1415,689,3806
2020-05-07,378,281,182,841,69,74,22,165,1937,1140,409,3486,1720,1428,689,3837
2020-05-09,408,296,191,895,74,80,22,176,1956,1150,411,3517,1752,1451,699,3902
2020-05-10,429,299,194,922,74,82,24,180,1962,1154,412,3528,1772,1461,701,3934
2020-05-11,440,307,194,941,75,82,25,182,1968,1143,413,3524,1781,1475,711,3967
2020-05-12,456,315,195,966,75,84,25,184,1970,1135,414,3519,1796,1489,714,3999
2020-05-13,480,329,199,1008,76,86,25,187,1975,1137,418,3530,1807,1500,718,4025
2020-05-14,497,337,199,1033,76,86,25,187,1975,1139,420,3534,1820,1510,725,4055
2020-05-16,510,351,200,1061,76,88,25,189,1985,1142,422,3549,1848,1527,738,4113
2020-05-17,520,358,202,1080,76,88,25,189,1988,1144,422,3554,1861,1534,740,4135
2020-05-18,524,361,204,1089,77,89,25,191,1989,1144,424,3557,1867,1540,742,4149
2020-05-19,529,362,205,1096,78,89,25,192,1989,1144,424,3557,1874,1548,747,4169
2020-05-20,542,365,206,1113,79,90,25,194,1990,1146,424,3560,1887,1552,748,4187
2020-05-21,550,369,208,1127,79,90,25,194,1990,1142,424,3556,1900,1558,750,4208
2020-05-23,558,378,208,1144,79,91,25,195,1991,1144,426,3561,1917,1565,754,4236
2020-05-24,566,385,208,1159,79,93,26,198,1991,1146,427,3564,1928,1571,756,4255
2020-05-25,572,386,208,1166,79,95,26,200,1995,1147,427,3569,1933,1580,760,4273
2020-05-26,577,387,209,1173,79,97,26,202,1995,1147,427,3569,1940,1583,763,4286
2020-05-27,584,394,210,1188,79,98,26,203,1996,1146,427,3569,1949,1587,765,4301
2020-05-28,588,397,210,1195,80,98,26,204,1996,1143,428,3567,1959,1593,766,4318
2020-05-30,598,401,211,1210,80,98,26,204,1999,1143,438,3580,1973,1602,773,4348
2020-05-31,598,404,214,1216,81,98,26,205,1999,1143,438,3580,1975,1606,774,4355
2020-06-01,603,404,214,1221,83,98,27,208,1999,1143,438,3580,1981,1608,777,4366
2020-06-02,606,406,214,1226,83,99,27,209,2000,1143,438,3581,1989,1611,778,4378
2020-06-03,609,408,214,1231,84,99,27,210,2001,1143,438,3582,1994,1616,778,4388
2020-06-04,613,414,214,1241,86,99,28,213,2003,1141,438,3582,2003,1618,780,4401
2020-06-06,627,419,215,1261,88,101,28,217,2009,1127,426,3562,2006,1625,784,4415
2020-06-07,630,420,216,1266,89,102,28,219,2011,1127,426,3564,2010,1626,785,4421
2020-06-08,630,422,216,1268,90,102,29,221,2011,1127,427,3565,2013,1629,785,4427
2020-06-09,630,422,216,1268,91,102,29,222,2011,1127,427,3565,2023,1631,786,4440
2020-06-10,630,423,216,1269,91,102,29,222,2011,1127,427,3565,2025,1635,788,4448
2020-06-11,630,423,216,1269,91,103,30,224,2010,1127,427,3564,2028,1638,788,4454
2020-06-13,633,422,217,1272,92,105,30,227,2010,1126,426,3562,2034,1642,789,4465
2020-06-14,633,423,217,1273,92,105,30,227,2010,1126,426,3562,2035,1643,791,4469
2020-06-15,633,423,220,1276,92,105,30,227,2010,1126,426,3562,2037,1644,791,4472
2020-06-16,633,423,219,1275,93,105,30,228,2010,1126,425,3561,2038,1644,793,4475
